source	target	freq
،	,	35356
.	.	21345
/	/	8244
محمد	Muḥammad	7260
:	:	7035
بن	ibn	6678
في	fī	5295
عبد	ʻAbd	4122
؛	;	3386
مطبعة	Maṭbaʻat	3234
الطبعة	al-Ṭabʻah	2792
تأليف	taʼlīf	2720
علي	ʻAlī	2305
الله	Allāh	1912
[	[	1881
]	]	1880
دار	Dār	1858
مصر	Miṣr	1806
من	min	1696
الدين	al-Dīn	1677
احمد	Aḥmad	1515
مكتبة	Maktabat	1394
المطبعة	al-Maṭbaʻah	1344
كتاب	Kitāb	1331
ابن	Ibn	1281
القاهرة	al-Qāhirah	1131
على	ʻalá	1064
بيروت	Bayrūt	1034
أحمد	Aḥmad	1020
العربية	al-ʻArabīyah	1004
1	1	960
الأولى	al-ūlá	817
بقلم	bi-qalam	769
العربي	al-ʻArabī	751
محمود	Maḥmūd	735
ابي	Abī	721
المصرية	al-Miṣrīyah	713
ابو	Abū	689
حسين	Ḥusayn	679
مصطفى	Muṣṭafá	672
حسن	Ḥasan	663
المعارف	al-Maʻārif	654
أبي	Abī	627
يوسف	Yūsuf	601
الرحمن	al-Raḥmān	566
ابراهيم	Ibrāhīm	563
الحسن	al-Ḥasan	560
""""	""""	527
سنة	sanat	483
)	)	471
عن	ʻan	467
عمر	ʻUmar	464
سلسلة	Silsilat	435
أبو	Abū	421
الحسين	al-Ḥusayn	415
والنشر	wa-al-Nashr	412
جامعة	Jāmiʻat	391
وزارة	Wizārat	376
فؤاد	Fuʼād	371
الكتب	al-Kutub	359
(	(	357
العرب	al-ʻArab	355
2	2	351
شرح	sharḥ	346
تاريخ	Tārīkh	343
الى	ilá	333
دمشق	Dimashq	328
المكتبة	al-Maktabah	324
إبراهيم	Ibrāhīm	307
بغداد	Baghdād	306
جعفر	Jaʻfar	299
السيد	al-Sayyid	297
الشيخ	al-Shaykh	293
سعيد	Saʻīd	293
القرآن	al-Qurʼān	291
لجنة	Lajnat	288
,	,	285
الاسلامية	al-Islāmīyah	280
الاسلامي	al-Islāmī	277
لبنان	Lubnān	277
الحسيني	al-Ḥusaynī	276
العامة	al-ʻĀmmah	275
عليه	ʻalayhi	267
ديوان	Dīwān	266
الحلبي	al-Ḥalabī	265
الدكتور	al-Duktūr	263
إلى	ilá	261
علم	ʻilm	259
النهضة	al-Nahḍah	259
توفيق	Tawfīq	249
الامام	al-Imām	249
منشورات	Manshūrāt	248
القاسم	al-Qāsim	242
خليل	Khalīl	242
الإسلام	al-Islām	242
not	not	237
سليمان	Sulaymān	236
أمين	Amīn	234
العلمي	al-ʻIlmī	234
آل	Āl	231
وعلق	wa-ʻallaqa	230
identified	identified	229
الثقافة	al-Thaqāfah	227
مؤسسة	Muʼassasat	226
رضا	Riḍā	225
امين	Amīn	224
الثانية	al-thānīyah	224
الاسلام	al-Islām	223
publisher	publisher	222
طه	Ṭāhā	221
مع	maʻa	221
زكي	Zakī	219
بكر	Bakr	218
عباس	ʻAbbās	217
والترجمة	wa-al-Tarjamah	217
بمصر	bi-Miṣr	216
البابي	al-Bābī	215
العلامة	al-ʻallāmah	213
موسى	Mūsá	212
عثمان	ʻUthmān	209
اللغة	al-lughah	208
المجمع	al-Majmaʻ	207
تقي	Taqī	207
العزيز	al-ʻAzīz	206
الحميد	al-Ḥamīd	205
تحقيق	taḥqīq	204
العلوم	al-ʻUlūm	204
اسماعيل	Ismāʻīl	202
م	M	202
١	1	201
التأليف	al-Taʼlīf	198
الأول	al-Awwal	198
الكتاب	al-Kitāb	198
أستاذ	ustādh	197
كامل	Kāmil	196
الإسلامية	al-Islāmīyah	194
جمال	Jamāl	190
بين	bayna	189
العراق	al-ʻIrāq	188
الأدب	al-adab	187
مطبوعات	Maṭbūʻāt	186
مهدي	Mahdī	182
بجامعة	bi-Jāmiʻat	181
عيسى	ʻĪsá	177
يحيى	Yaḥyá	177
الآداب	al-Ādāb	176
الحديث	al-ḥadīth	175
القادر	al-Qādir	174
الكريم	al-Karīm	173
آية	Āyat	171
ترجمة	tarjamat	170
الهلال	al-Hilāl	170
الأستاذ	al-ustādh	167
هـ	H	166
الفكر	al-Fikr	165
العلمية	al-ʻIlmīyah	163
المرعشي	al-Marʻashī	160
السعادة	al-Saʻādah	159
الوهاب	al-Wahhāb	157
المتوفى	al-mutawaffá	156
وهو	wa-huwa	155
عني	ʻuniya	153
الجامعة	al-Jāmiʻah	150
طبعة	Ṭabʻah	148
المعروف	al-maʻrūf	148
شاكر	Shākir	147
باقر	Bāqir	147
بك	Bik	146
باشا	Bāshā	145
إبن	Ibn	145
كلية	Kullīyat	144
التاريخ	al-tārīkh	143
سليم	Salīm	141
بدمشق	bi-Dimashq	138
هاشم	Hāshim	137
طالب	Ṭālib	135
مدرس	mudarris	135
صاحب	ṣāḥib	134
صالح	Ṣāliḥ	134
المصري	al-Miṣrī	133
رشيد	Rashīd	131
السلام	al-Salām	129
الكبرى	al-Kubrá	129
of	of	128
مديرية	Mudīrīyat	128
بكلية	bi-Kullīyat	126
الطبع	al-ṭabʻ	126
صلاح	Ṣalāḥ	125
ما	mā	124
جلال	Jalāl	124
مطابع	Maṭābiʻ	124
رسالة	Risālat	123
معهد	Maʻhad	123
النشر	al-Nashr	122
للطباعة	lil-Ṭibāʻah	122
الفلسفة	al-falsafah	121
القرن	al-qarn	121
العراقي	al-ʻIrāqī	121
Cairo	Cairo	121
صادر	Ṣādir	120
النفس	al-nafs	120
نجيب	Najīb	120
جميل	Jamīl	119
الحديثة	al-ḥadīthah	118
زين	Zayn	118
مرتضى	Murtaḍá	117
=	=	116
حامد	Ḥāmid	116
الشهير	al-shahīr	115
شركة	Sharikat	115
التربية	al-tarbiyah	115
دراسات	Dirāsāt	115
محفوظة	maḥfūẓah	114
طاهر	Ṭāhir	113
الجمهورية	al-Jumhūrīyah	113
النجفي	al-Najafī	112
العلم	al-ʻIlm	112
له	lahu	112
لأبي	li-Abī	111
سيد	Sayyid	111
لابي	li-Abī	111
حققه	ḥaqqaqahu	110
التي	allatī	110
؟	?	109
صادق	Ṣādiq	108
بحث	baḥth	107
السورية	al-Sūrīyah	107
التجارية	al-Tijārīyah	107
الحكومة	al-Ḥukūmah	107
جواد	Jawād	106
كمال	Kamāl	105
النجف	al-Najaf	104
حافظ	Ḥāfiẓ	104
الاعلام	al-Iʻlām	104
تيمية	Taymīyah	104
مالك	Mālik	104
الثالثة	al-thālithah	104
الشرق	al-Sharq	104
مجلة	Majallat	103
كاظم	Kāẓim	103
شفيق	Shafīq	103
الأميرية	al-Amīrīyah	103
شمس	Shams	103
الادب	al-adab	103
حنا	Ḥannā	103
البلاغة	al-balāghah	102
لمؤلفه	li-muʼallifihi	102
الإسلامي	al-Islāmī	101
حبيب	Ḥabīb	101
الشعر	al-shiʻr	101
أو	aw	100
عبده	ʻAbduh	100
عشر	ʻashar	99
مجمع	Majmaʻ	99
السلفية	al-Salafīyah	99
حقوق	Ḥuqūq	99
الفضل	al-Faḍl	98
المنعم	al-Munʻim	98
الرزاق	al-Razzāq	98
سامي	Sāmī	97
الدراسات	al-Dirāsāt	97
محسن	Muḥsin	96
3	3	95
العظمى	al-ʻUẓmá	95
الطباعة	al-Ṭibāʻah	95
الحلي	al-Ḥillī	94
ومكتبتها	wa-Maktabatuhā	94
السياسية	al-siyāsīyah	94
مجموعة	Majmūʻat	94
الموسوي	al-Mūsawī	93
الإمام	al-Imām	93
الحليم	al-Ḥalīm	93
بدر	Badr	93
دراسة	dirāsah	92
تفسير	Tafsīr	92
قاسم	Qāsim	92
الفقه	al-fiqh	92
الكبير	al-kabīr	92
الشرقية	al-Sharqīyah	92
خالد	Khālid	92
المنار	al-Manār	92
بدوي	Badawī	91
تصنيف	taṣnīf	90
سعد	Saʻd	90
بابن	bi-Ibn	89
الحقوق	al-ḥuqūq	89
ناصر	Nāṣir	89
محيي	Muḥyī	88
فى	fī	88
إسماعيل	Ismāʻīl	88
تيمور	Taymūr	88
عطية	ʻAṭīyah	88
المهدي	al-Mahdī	88
العباس	al-ʻAbbās	88
بحر	Baḥr	87
الملك	al-Malik	87
النعمان	al-Nuʻmān	86
مكتب	Maktab	86
ميخائيل	Mīkhāʼīl	86
طبع	Ṭubiʻa	86
منصور	Manṣūr	86
تعريب	taʻrīb	85
بولس	Būlus	85
الحيدرية	al-Ḥaydarīyah	85
الخانجي	al-Khānjī	85
title	title	84
اللبنانية	al-Lubnānīyah	84
يعقوب	Yaʻqūb	84
وقدم	wa-qaddama	83
العالم	al-ʻālim	83
خير	Khayr	83
دكتور	duktūr	83
الكاثوليكية	al-Kāthūlīkīyah	82
فتح	Fatḥ	82
فارس	Fāris	82
الجمعية	al-Jamʻīyah	82
حسيني	Ḥusaynī	82
لطفي	Luṭfī	81
الشافعي	al-Shāfiʻī	81
الخطيب	al-Khaṭīb	81
الارشاد	al-Irshād	81
قدم	qaddama	81
الخوري	al-Khūrī	80
العمومية	al-ʻUmūmīyah	80
رئيس	raʼīs	80
شوقي	Shawqī	80
شريف	Sharīf	80
رسائل	Rasāʼil	79
هذا	Hādhā	79
مختصر	Mukhtaṣar	79
الحسني	al-Ḥasanī	79
مدرسة	Madrasat	78
فاضل	Fāḍil	78
الشيعة	al-Shīʻah	78
الحكيم	al-Ḥakīm	78
مجلس	Majlis	78
العصر	al-ʻaṣr	78
البغدادي	al-Baghdādī	78
العراقية	al-ʻIrāqīyah	76
المثنى	al-Muthanná	76
وهي	wa-hiya	76
للملايين	lil-Malāyīn	76
نور	Nūr	75
At	At	75
فريد	Farīd	75
او	aw	75
البيان	al-bayān	75
تاريخية	tārīkhīyah	75
إحياء	Iḥyāʼ	75
جمعية	Jamʻīyat	74
مذهب	madhhab	74
عند	ʻinda	73
قسم	Qism	73
هادي	Hādī	73
الأدبية	al-Adabīyah	73
شهاب	Shihāb	73
اللبناني	al-Lubnānī	73
المدرس	al-mudarris	73
زيدان	Zaydān	73
اللطيف	al-Laṭīf	72
منظمة	Munaẓẓamat	72
خلدون	Khaldūn	72
منقحة	munaqqaḥah	72
عبيد	ʻUbayd	72
والارشاد	wa-al-Irshād	71
حمزة	Ḥamzah	70
الدمشقي	al-Dimashqī	70
الكشاف	al-Kashshāf	70
النيل	al-Nīl	70
الشريف	al-Sharīf	70
قانون	Qānūn	70
الدول	al-Duwal	70
احياء	Iḥyāʼ	70
عواد	ʻAwwād	70
المقتطف	al-Muqtaṭaf	69
العثمانية	al-ʻUthmānīyah	69
جورج	Jūrj	69
مدير	mudīr	69
الفرج	al-Faraj	69
ياسين	Yāsīn	69
فهمي	Fahmī	69
head	head	68
بتحقيق	bi-taḥqīq	68
اسعد	Asʻad	68
نقله	naqalahu	68
البيت	al-Bayt	67
زيد	Zayd	67
ناجي	Nājī	67
الفتح	al-Fatḥ	67
طبعه	ṭabʻihi	67
اسحاق	Isḥāq	67
القمي	al-Qummī	66
عهد	ʻahd	66
عضو	ʻuḍw	66
الاداب	al-Ādāb	66
المجيد	al-Majīd	65
وشركاه	wa-Shurakāh	65
--	--	65
لمحمد	li-Muḥammad	65
وتعليق	wa-taʻlīq	65
جريدة	Jarīdat	64
الرحيم	al-Raḥīm	64
الاصفهاني	al-Iṣfahānī	64
عمرو	ʻAmr	64
للشيخ	lil-Shaykh	64
الترقي	al-Taraqqī	63
نهج	Nahj	63
بتصحيحه	bi-taṣḥīḥihi	63
بالقاهرة	bi-al-Qāhirah	63
الطيب	al-Ṭayyib	63
اهل	ahl	63
محاضرات	Muḥāḍarāt	63
بطرس	Buṭrus	63
العصرية	al-ʻAṣrīyah	63
المؤلف	al-muʼallif	63
حكيم	Ḥakīm	63
ه	H	63
مسعود	Masʻūd	62
المعهد	al-Maʻhad	62
سينا	Sīnā	62
رقم	raqm	62
فرج	Faraj	62
الشريعة	al-sharīʻah	62
